Gmina	Frekwencja	Andrzej Sebastian DUDA	Rafał Kazimierz TRZASKOWSKI
Odolanów	67.48	68.01	31.99
Czerwonak	75.24	32.69	67.31
Nowogródek Pomorski	58.68	50.16	49.84
Szczytna	62.28	45.28	54.72
Twardogóra	64.42	53.75	46.25
Świdnica	63.33	48.40	51.60
Szczawno-Zdrój	71.83	34.03	65.97
Mogilno	63.99	49.70	50.30
Zakrzówek	65.81	81.14	18.86
Wola Uhruska	58.63	66.32	33.68
Zabór	71.04	31.26	68.74
Przewóz	61.43	55.08	44.92
Witonia	66.64	75.64	24.36
Uniejów	69.05	66.94	33.06
Żytno	65.57	75.61	24.39
Cielądz	68.69	83.56	16.44
Wietrzychowice	55.89	75.61	24.39
Biały Dunajec	64.97	78.70	21.30
Jakubów	71.73	74.84	25.16
Kosów Lacki	69.28	79.40	20.60
Grębków	68.12	77.87	22.13
Kietrz	61.17	59.33	40.67
Dąbrowa	61.90	44.39	55.61
Czarna	67.75	79.61	20.39
Jarosław	63.48	61.48	38.52
Bircza	60.21	82.33	17.67
Błażowa	68.21	79.71	20.29
Knyszyn	57.65	72.49	27.51
Stężyca	74.86	58.46	41.54
Jaworze	75.92	34.62	65.38
Wodzisław	65.62	75.52	24.48
Płośnica	58.84	66.95	33.05
Lubawa	63.86	74.63	25.37
Morąg	60.93	45.68	54.32
Gniezno	69.90	45.70	54.30
Sompolno	65.77	73.52	26.48
Kwilcz	63.42	46.38	53.62
Nowy Tomyśl	69.96	36.25	63.75
Ostrzeszów	66.59	46.44	53.56
Pleszew	66.47	49.33	50.67
Buk	72.24	44.52	55.48
Słupca	68.31	47.20	52.80
Powidz	80.14	41.55	58.45
Wronki	69.24	35.85	64.15
Kalisz Pomorski	56.83	47.77	52.23
Sianów	63.62	42.74	57.26
Darłowo	71.49	37.53	62.47
Kudowa-Zdrój	69.21	43.39	56.61
Lubień Kujawski	57.32	68.64	31.36
Białaczów	68.97	78.98	21.02
Sulmierzyce	71.94	75.64	24.36
Ładzice	64.51	69.42	30.58
Ropa	69.95	79.18	20.82
Książ Wielki	67.05	76.02	23.98
Łabowa	69.74	84.03	15.97
Radzanów	72.56	82.95	17.05
Mława	67.43	54.20	45.80
Szydłowo	67.18	72.95	27.05
Płońsk	69.19	51.33	48.67
Domanice	71.92	86.41	13.59
Jarosław	65.01	78.48	21.52
Pruchnik	67.42	87.73	12.27
Przeworsk	67.06	66.70	33.30
Dynów	63.31	82.67	17.33
Gródek	57.92	34.19	65.81
Stara Kiszewa	68.88	57.83	42.17
Radzionków	68.59	53.75	46.25
Włodowice	67.13	59.45	40.55
Ostrowiec Świętokrzyski	62.27	52.68	47.32
Łączna	68.66	75.76	24.24
Tolkmicko	57.65	48.75	51.25
Iława	67.63	44.31	55.69
Kurzętnik	64.45	70.73	29.27
Kamieniec	64.53	58.85	41.15
Jaraczewo	65.18	67.95	32.05
Święciechowa	66.73	44.19	55.81
Pyzdry	63.06	65.55	34.45
Konin	68.57	48.38	51.62
Banie	54.92	59.77	40.23
Będzino	70.07	41.48	58.52
Borne Sulinowo	62.67	44.22	55.78
Kobierzyce	75.58	36.14	63.86
Legnica	65.28	45.25	54.75
Rojewo	59.33	62.69	37.31
Włocławek	64.98	39.55	60.45
Janów Lubelski	68.80	74.32	25.68
Ulhówek	50.64	83.00	17.00
Kolsko	61.12	50.79	49.21
Nieborów	71.82	70.82	29.18
Szadek	68.15	67.71	32.29
Gorlice	65.38	72.25	27.75
Nawojowa	72.85	82.41	17.59
